,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
56012, 2000-01-28T16:39:24.280Z, 26.076, 124.496, 193.9, 6.0, mwc, , , , 0.9, us, usp0009msm, 2022-04-29T18:30:24.415Z, 162 km NNW of Hirara, Japan, earthquake, , , , , reviewed, us, hrv
56015, 2000-01-27T10:10:57.250Z, 31.678, 141.686, 33.0, 5.3, mwc, , , , 0.99, us, usp0009mqx, 2016-11-09T21:45:26.764Z, Izu Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56028, 2000-01-23T07:40:04.900Z, 30.239, 130.768, 42.9, 5.5, mwc, , , , 1.08, us, usp0009mjg, 2022-04-29T18:29:46.577Z, 20 km SE of Koseda, Japan, earthquake, , 8.4, , , reviewed, us, hrv
56073, 2000-01-10T16:40:42.240Z, 27.35, 139.979, 453.2, 5.7, mwc, , , , 0.92, us, usp0009m08, 2022-04-29T18:28:25.421Z, Bonin Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56078, 2000-01-09T04:02:23.680Z, 37.28, 141.515, 56.0, 5.4, mwc, , , , 0.71, us, usp0009kxw, 2016-11-09T21:37:42.262Z, 50 km ESE of Namie, Japan, earthquake, , 6.0, , , reviewed, us, hrv
56108, 2000-01-01T19:30:57.740Z, 23.112, 143.644, 33.0, 5.2, mwc, , , , 0.96, us, usp0009km8, 2016-11-09T21:34:26.907Z, Volcano Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56127, 2000-02-25T06:13:00.550Z, 25.287, 123.829, 150.2, 5.2, mb, , , , 0.94, us, usp0009nxv, 2014-11-07T01:09:33.594Z, 109 km NNW of Ishigaki, Japan, earthquake, , , , 95.0, reviewed, us, us
56163, 2000-02-16T11:52:13.390Z, 37.269, 145.178, 33.0, 5.4, mwc, , , , 0.81, us, usp0009nhz, 2016-11-09T21:53:23.998Z, off the east coast of Honshu, Japan, earthquake, , , , , reviewed, us, hrv
56168, 2000-02-14T20:22:23.660Z, 31.04, 141.622, 33.0, 5.3, mwc, , , , 1.01, us, usp0009nfq, 2016-11-09T21:52:31.452Z, Izu Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56181, 2000-02-11T07:08:38.870Z, 39.047, 140.781, 33.0, 5.1, mb, , , , 0.81, us, usp0009naz, 2014-11-07T01:09:30.164Z, eastern Honshu, Japan, earthquake, , , , 68.0, reviewed, us, us
56191, 2000-02-07T16:41:04.580Z, 31.037, 141.694, 33.0, 5.4, mwc, , , , 0.87, us, usp0009n5x, 2016-11-09T21:49:22.759Z, Izu Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56205, 2000-03-29T22:22:52.320Z, 22.262, 143.453, 105.7, 5.1, mwc, , , , 0.83, us, usp0009qfd, 2016-11-09T22:11:10.720Z, Volcano Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56209, 2000-03-28T11:00:22.510Z, 22.338, 143.73, 126.5, 7.6, mwc, , , , 1.22, us, usp0009qb4, 2022-04-29T18:35:42.761Z, Volcano Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56228, 2000-03-21T04:32:34.400Z, 31.871, 142.54, 33.0, 5.4, mwc, , , , 0.69, us, usp0009pzk, 2016-11-09T22:07:27.766Z, Izu Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56234, 2000-03-19T21:26:02.380Z, 37.989, 141.336, 80.1, 5.3, mwc, , , , 0.76, us, usp0009pxs, 2016-11-09T22:06:38.223Z, 42 km E of Watari, Japan, earthquake, , , , , reviewed, us, hrv
56264, 2000-03-11T17:19:13.550Z, 27.535, 139.709, 459.5, 5.2, mwc, , , , 0.8, us, usp0009pjx, 2016-11-09T22:03:08.808Z, Bonin Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56302, 2000-04-26T12:55:04.020Z, 40.178, 143.236, 33.0, 5.6, mwc, , , , 0.81, us, usp0009rwx, 2022-04-29T19:16:18.005Z, 125 km ENE of Miyako, Japan, earthquake, , , , , reviewed, us, hrv
56303, 2000-04-26T12:48:49.500Z, 40.309, 143.328, 29.9, 5.4, mwc, , , , 0.98, us, usp0009rww, 2016-11-09T22:23:09.608Z, 139 km ENE of Miyako, Japan, earthquake, , , , , reviewed, us, hrv
56304, 2000-04-26T12:48:16.130Z, 26.405, 125.528, 164.2, 5.0, mb, , , , 0.9, us, usp0009rwv, 2014-11-07T01:09:57.031Z, 178 km N of Hirara, Japan, earthquake, , 5.0, , 33.0, reviewed, us, us
